CanonicalSMILES,CID
B(C)(N1CCC(CC1)N2C=C(C=N2)C3=NC=CC4=C3C=C(C4)CN5CCOCC5)O,159752046
B(C1=C2C=NC(=CC2=CC=C1)C3=CN(N=C3)C)(O)O,141673220
B(C1=CN(N=C1C2=CC=CC=N2)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)(O)O,22031495
B(C1=CN(N=C1C2=CN=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)(O)O,22031952
B(C1=CN=C(C=C1)C2=CN(N=C2)C3=CC=CC=C3)(O)OC(C)(C)C(C)C,123723257
B1(OC(C(O1)(C)C)(C)C)C2=C3C=C(C=CN3N=C2)C4=CC=C(C=C4)C#N,144630259
B1(OC(C(O1)(C)C)(C)C)C2=C3C=NC(=CC3=CC=C2)C4=CN(N=C4)C,140816131
B1(OC(C(O1)(C)C)(C)C)C2=CC3=CC(=NN3C=C2)C4=CC=C(C=C4)C,161154778
B1(OC(C(O1)(C)C)(C)C)C2=CC3=CC(=NN3C=C2)C4=CC=C(C=C4)F,53241654
B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC3=CC4=C(C=C3)C=CN=C4C,157289770
B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C3=CN=CC=C3)CC,142395480
B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CN(N=C3)C.CC,144631214
B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CN(N=C3)C4=CC=CC=C4,90182385
B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CN=C(C=C3)C4=CN(N=C4)C,90182392
B1(OC(C(O1)(C)C)(C)C)C2=NN3C=C4C=CC=CC4=CC3=C2,140781926
B1(OC(C(O1)(C)C)(C)C)C2=NN3C=C4C=CC=CC4=CC3=C2.CC,144960416
C#CC1=CC=C(C=C1)C2=CC=NN2C3=CC=NC=C3,86688053
C#CCN1C(=C(C=N1)C2=CC=NC=C2)C3=CC=C(C=C3)F,22037239
C#CCN1C=C(C(=N1)C2=CC=C(C=C2)F)C3=CC=NC=C3,22037273
C.C.CC.CC.CC.CC1=CC=CC=C1.CC1=CC=CC=N1.CN1C=CC=N1,160258966
C.C.CC1=CC(=CC=C1)C.CC1=CC(=NC=C1)C.CC1=CC(=NN1C)C,161949706
C.C1=CC(=CC=C1C=CC2=NC=CC(=C2)C3=CN(N=C3C4=CC=C(C=C4)F)CCO)F,159493145
C.CC(C)C1=C2C=CC=CN2N=C1C3=CC=CC=C3,161204462
C.CC.CC.CC.CC1=CC=CC=C1.CC1=CC=CC=N1.CN1C=CC=N1,160921724
C.CC1=CN(N=C1)C.CC1=C(N=CC2=CC=CC=C12)C,161357096
C.CC1=NC2=C(C=C1)C3=C(C2)C=C4C=[N+](N(C4=C3)C)C5=CC=CC=C5C,159474205
C.CC=CC=CC(=C)C1=CC(=C(C(=C1)C)C2=CC=NN2C3=CC=CC=C3)C,145602279
C1=CC(=C(C(=C1)F)C2=C(C=NN2)CN(CCO)CC3=CN=CC=C3)F,75439253
C1=CC(=C(C(=C1)F)C2=NN(C=C2C3=CC=NC=C3)CC(F)(F)F)F,67107412
C1=CC(=C(C(=C1)F)F)CN2C=C(C(=N2)C3=CC=C(C=C3)F)C4=CC=NC=C4,67106651
C1=CC(=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597605
C1=CC(=C(C=C1Cl)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597608
C1=CC(=C(C=C1F)C2=C(C(=C(C=C2)F)C3=NN(C=C3C4=CC=NC=C4)CCF)F)F,71071024
C1=CC(=C(C=C1F)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597606
C1=CC(=C(N=C1)CC2=CC=C(C=C2)C(F)(F)F)C3=NN(N=N3)CCO,160832702
C1=CC(=C(N=C1)F)C2=CC=C(C=C2)CN3C=C(C=N3)CO,166351974
C1=CC(=CC(=C1)C#N)CN2C(=CC=N2)C3=CC=NC=C3,84594154
C1=CC(=CC(=C1)C#N)CN2C=CC(=N2)C3=CC=CC(=C3)C4=CN=CC=C4,28375691
C1=CC(=CC(=C1)C#N)CN2C=CC(=N2)C3=CC=NC=C3,99964698
C1=CC(=CC(=C1)C#N)CN2C=CC(=N2)C3=CN=CC=C3,99964681
C1=CC(=CC(=C1)C(F)(F)F)C2=NN(C=C2C3=CC=NC=C3)I,162548422
C1=CC(=CC(=C1)C(F)(F)F)CN2C=CC(=N2)C3=CC=NC=C3,99964705
C1=CC(=CC(=C1)C(F)(F)F)CN2C=CC(=N2)C3=CN=CC=C3,99964687
C1=CC(=CC(=C1)C2=C(C=CC=N2)C#N)C3=NN(C=C3)CCCC(F)(F)F,29104494
C1=CC(=CC(=C1)C2=C(C=CC=N2)Cl)C3=NN(C=C3)CCCO,30882003
C1=CC(=CC(=C1)C2=C(C=CC=N2)F)C3=NN(C=C3)CC4=CC=NC=C4,29181181
C1=CC(=CC(=C1)C2=C(C=CN=C2)N)C3=CC=NN3,28980211
C1=CC(=CC(=C1)C2=C(C=CN=C2)N)C3=CC=NN3.C(=O)(C(F)(F)F)O,154890650
C1=CC(=CC(=C1)C2=C(C=NN2)C3=CC=NC=C3)CN,58302811
C1=CC(=CC(=C1)C2=C(C=NN2CCO)C3=CC=NC=C3)CN,66509291
C1=CC(=CC(=C1)C2=C(NN=C2)C3=CN=CC=C3)CCN,39222334
C1=CC(=CC(=C1)C2=C(NN=C2)C3=CN=CC=C3)CN,39222322
C1=CC(=CC(=C1)C2=CC=NC=C2)CNC3=CN(N=C3)CCO,109982108
C1=CC(=CC(=C1)C2=CC=NN2)C3=CC=NC=C3,28734274
C1=CC(=CC(=C1)C2=CC=NN2)C3=CC=NC=C3.C(=O)(C(F)(F)F)O,154924670
C1=CC(=CC(=C1)C2=CC=NN2)C3=CN=CC=C3,31044922
C1=CC(=CC(=C1)C2=CN(N=C2)CCF)C3=C(N=CC=C3)F,67570288
C1=CC(=CC(=C1)C2=CN(N=C2)CCO)C3=CC=NN3,121500140
C1=CC(=CC(=C1)C2=CN=CC=C2)CNC3=CN(N=C3)CCO,109982100
C1=CC(=CC(=C1)C2=CN=CN=C2)C3=NN(C=C3)CC(C(F)(F)F)O,29254776
C1=CC(=CC(=C1)C2=CN=CN=C2)C3=NN(C=C3)CCCO,28823358
C1=CC(=CC(=C1)C2=NC=CC(=C2)C#N)C3=NN(C=C3)CCCC4=CN=CC=C4,29103118
C1=CC(=CC(=C1)C2=NC=CC(=C2)C(F)(F)F)C3=NN(C=C3)CCO,29184046
C1=CC(=CC(=C1)C2=NC=CC(=C2)C3=NN(C=C3)CCCN)CO,141093780
C1=CC(=CC(=C1)C2=NC=CN=C2)C3=NN(C=C3)CCCCCF,28357585
C1=CC(=CC(=C1)C2=NC=CN=C2)C3=NN(C=C3)CCF,30881659
C1=CC(=CC(=C1)C2=NN(C=C2)CC(=O)N)C3=CN=CC=C3,28100766
C1=CC(=CC(=C1)C2=NN(C=C2)CC(C(F)(F)F)O)C3=CN=CC=C3,28738019
C1=CC(=CC(=C1)C2=NN(C=C2)CC3=CC=NC=C3)C4=CC=NC=C4,28101423
C1=CC(=CC(=C1)C2=NN(C=C2)CCCC(F)(F)F)C3=CN=CC=C3,28098080
C1=CC(=CC(=C1)C2=NN(C=C2)CCCC3=CN=CC=C3)C4=CN=CC=C4,29105743
C1=CC(=CC(=C1)C2=NN(C=C2)CCCCF)C3=CC=NC=C3,29002028
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=C(C=NC=C3)F,29256757
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=CC4=C(C=C3)N=CC=C4,29025231
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=NC=C(C=C3)C(F)(F)F,31105021
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=NC=C(C=C3)F,31017858
C1=CC(=CC(=C1)C2=NN(C=C2)CCF)C3=CN=CC=C3,29068477
C1=CC(=CC(=C1)C2=NN(C=C2)CCO)C3=CC(=CC=C3)F,28077167
C1=CC(=CC(=C1)C2=NN(C=C2)CCO)C3=NC=C(C=C3)C(F)(F)F,30920660
C1=CC(=CC(=C1)C2=NN(C=C2C3=CC=NC=C3)CCO)CN,66509292
C1=CC(=CC(=C1)C2=NN(C=C2C3=CC=NC=C3)CCO)CN.Cl.Cl,71298633
C1=CC(=CC(=C1)CN2C=CC(=N2)C3=CC=NC=C3)CN4C=CC(=N4)C5=CC=NC=C5,101487703
C1=CC(=CC(=C1)Cl)C2=C(C=NN2)CN(CCO)CC3=CN=CC=C3,109932170
C1=CC(=CC(=C1)F)CN2C=C(C(=N2)C3=CC=C(C=C3)F)C4=CC=NC=C4,67106528
C1=CC(=CC(=C1)N)C2=CN(N=C2)CCC3=CC=NC=C3,63338106
C1=CC(=CC(=C1)N)C2=CN(N=C2)CCC3=CN=CC=C3,63338371
C1=CC(=CC(=C1)N)C2=NN(C=C2C3=CC=NC=C3)CCF,67184547
C1=CC(=CC(=C1)N)C2=N[N-]C=C2C3=CC=NC=C3,154460855
C1=CC(=CC(=C1)N2C=CC=N2)C3=CN=CC=C3,70981442
C1=CC(=CC(=C1)N2C=CC=N2)CN(CCO)CC3=CN=CC=C3,109932092
C1=CC(=CC(=C1)NC(=O)CO)NCC2=C(NN=C2)C3=CN=CC=C3,112357031
C1=CC(=CC(=C1)[N+](=O)[O-])C2=NN(C=C2C3=CC=NC=C3)CCF,67185846
C1=CC(=CC2=C1C=CN2)C3=CN(N=C3C4=CC=NC=C4)CCO,57564398
C1=CC(=CC2=C1C=CNC2=O)C3=CN(N=C3C4=CC=NC=C4)CCO,11588005
C1=CC(=CC=C1C#N)C2=CN=NN2C3=CC=NC=C3,102046610
C1=CC(=CC=C1C(CN2C(=CC=N2)C3=CC=NC=C3)O)C(F)(F)F,109411919
C1=CC(=CC=C1C(CN2C(=CC=N2)C3=CC=NC=C3)O)F,109411918
C1=CC(=CC=C1C2=C(C(=N[N-]2)CCCCO)C3=CC=NC=C3)F,141997785
C1=CC(=CC=C1C2=C(C=CN=N2)C3=CC=NC=C3)N(CCO)CCO,141238408
C1=CC(=CC=C1C2=C(C=NN2CCO)C3=CC=NC=C3)Cl,141005828
C1=CC(=CC=C1C2=C(C=NN2NCC(=O)O)C3=CC=NC=C3)F,53835820
C1=CC(=CC=C1C2=C(N(N=C2)CCCO)C3=CC=NC=C3)F,141929338
C1=CC(=CC=C1C2=C(N(N=C2)CCO)C3=CC=NC=C3)F,15908491
C1=CC(=CC=C1C2=C3C=C(C=CN3N=C2)C[N+](=O)[O-])C(F)(F)F,131970555
C1=CC(=CC=C1C2=CC(=NN2CC(=O)O)C3=NC=C(C=C3)F)F,89592911
C1=CC(=CC=C1C2=CC=NC=C2)C3=C(C=NN3)CN,79488249
C1=CC(=CC=C1C2=CC=NC=C2)C3=CC=NN3,39756794
C1=CC(=CC=C1C2=CC=NN2)C3=CN(N=C3)CCO,72924283
C1=CC(=CC=C1C2=CC=NN2CCO)C3=CC=NN3CCO,46184498
C1=CC(=CC=C1C2=CN(N=C2)CCC3=CC=NC=C3)N,63328441
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)C4=NNN=N4,117906575
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)C4=NNNN4,163741857
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)C4=N[NH2+]NN4,163741856
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)F,15428662
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)F.C1=CC(=CC=C1C2=C(N(N=C2)CCO)C3=CC=NC=C3)F,160551703
C1=CC(=CC=C1C2=CN3C(=CC=N3)C=C2)F,59277825
C1=CC(=CC=C1C2=CN=CC3=C2C=NN3CCO)N,143691298
C1=CC(=CC=C1C2=CON=C2C3=CC=NC=C3)F,49823286
C1=CC(=CC=C1C2=NN(C(=C2)C3=NC=C(C=C3)F)CC(=O)O)F,89592912
C1=CC(=CC=C1C2=NN(C(=C2C3=CC=NC=C3)C(=CC=O)C=CI)CCO)F,163579650
C1=CC(=CC=C1C2=NN(C(=C2C3=CC=NC=C3)C4=CC(=O)NC=C4)CCO)F,22262558
