CanonicalSMILES,CID
B(C1=C(C=C(C=C1)Cl)Cl)(O)O.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=C(C=C(C=C4)Cl)Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,160430824
B(C1=C(C=C(C=C1)F)Cl)(O)O.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=C(C=C(C=C4)F)Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,160815540
B(C1=CC(=CC=C1)N)(O)OCCCS(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Br)F,163492014
B(C1=CC=C(C=C1)Cl)(O)O.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,160390413
B(C1=CC=C(C=C1)Cl)(O)O.CS(=O)(=O)NC1=CC=CC(=C1F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl.CS(=O)(=O)NC1=CC=CC(=C1F)C(=O)C2=CNC3=C2C=C(C=N3)Br,162001027
B(C1=CC=CC=C1Cl)(O)O.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=CC=C4Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,161155164
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(C=C3C(=O)C4=C(C(=C(C=C4)F)NS(=O)(=O)CCC)F)C(=O)C5=C(C=CC=C5Cl)Cl,156806274
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(C=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)CC5=CC=CC=C5)F)C(=O)C6=C(C=CC=C6Cl)Cl,156635826
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(C=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)CCC)F)C(=O)C5=C(C=CC=C5Cl)C,144212339
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(C=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)CCC)F)C(=O)C5=C(C=CC=C5Cl)Cl,58368752
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C(=C(C=C4)F)N(S(=O)(=O)CCC(F)(F)F)S(=O)(=O)CCC(F)(F)F)F)N=C2,164938959
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)N)F)N=C2,58368802
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)C(C)CC)F)N=C2,90124663
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)C5CCC(C5)F)F)N=C2,153486037
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)CC(C)C)F)N=C2,131740954
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)CCC)F)N=C2,58368878
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)N(C)C)F)N=C2,90124673
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)N5CCC(C5)F)F)N=C2,140881997
C#CC1=C2C(=CNC2=NC=C1)C(=O)C3=C(C(=CC=C3)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F)F,87088955
C#CC1=C2C(=CNC2=NC=C1)C(=O)C3=C(C(=CC=C3)NS(=O)(=O)C4=CC=C(C=C4)CF)F,88580561
C#CC1=C2C(=CNC2=NC=C1)C(=O)C3=C(C=CC(=C3F)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F)F,46909735
C#CC1=CC#[N+]C2=C1C(=CN2)C(=O)C3=C(C=CC(=C3F)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F)F,148992470
C#CC1=CC2=C(NC=C2C(=O)C3=C(C=CC(=C3F)N)F)N=C1,87452063
C#CC1=CC2=C(NC=C2C(=O)C3=C(C=CC(=C3F)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F)F)N=C1,87088919
C.C.C.C.CCCS(=O)(=O)NC1=CC=CC(=C1F)C(=O)C2=CNC3=C2C=CC=N3.CCCS(=O)(=O)NC1=CC=CC(=C1F)C(=O)C2=CNC3=C2C=C(C=N3)F.CCCS(=O)(=O)NC1=CC=CC(=C1F)C(=O)C2=CNC3=C2C=C(C=N3)Cl,159417127
C.C.CC.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)N2CCC2)F)C(=O)C3=CNC4=NC=C(C(=C34)C)C5=CC=CC=C5,159935836
C.C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CC=NC=C1,157270633
C.C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CN=CC=N1,160248668
C.C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CN=CN=C1,161575778
C.C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C4=CC=CC=C4,158389682
C.CC.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)N2CCC2)F)C(=O)C3=CNC4=NC=C(C(=C34)C)C5=CC=CC=C5,161840602
C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CC=NC=C1,157404683
C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CN=CC=N1,157501042
C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CN=CN=C1,158029412
C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C.C1=CN=NN=C1,158497757
C.CC.CC1=C(C(=C(C=C1)NS(=O)(=O)C)F)C(=O)C2=CNC3=NC=C(C(=C23)C)C4=CC=CC=C4,157697152
C.CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=CC=N4)F,159174451
C.CCCC(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC(=CC=C4)C(=O)N)F,160967241
C.CCCS(=O)(=O)CC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C5=CC=C(C=C5)Cl)F,157779928
C.CCCS(=O)(=O)NC1=C(C(=C(C=C1)Cl)C(=O)C2=CNC3=C2C=CC=N3)F,157249382
C.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,160643258
C.CCCS(=O)(=O)[N-]C1=C(C(=C(C=C1)F)C(=O)C2=CN(C3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)C)F.[Y],160064380
C.CNS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=CC=C4)F,157861609
C1=CC(=C(C(=C1)C(=O)N)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl,67375148
C1=CC(=C(C(=C1)Cl)C(=O)C2=C3C(=CNC3=NC(=C2C4=CC=C(C=C4)Cl)C5=C(C=CC(=C5F)N)F)C=O)Cl,90016832
C1=CC(=C(C(=C1)Cl)C(=O)C2=C3C(=CNC3=NC=C2Br)C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)C5=C(C=CC(=C5)F)F)F)Cl,123141030
C1=CC(=C(C(=C1)Cl)C(=O)C2=CNC3=C2C=C(C=N3)C4=CN=CC=C4)F,141163617
C1=CC(=C(C(=C1)Cl)C(=O)C2=CNC3=C2C=CC=N3)F,43161313
C1=CC(=C(C(=C1)Cl)C(=O)N2C=C(C3=C2N=CC(=C3)C4=CC=C(C=C4)Cl)C(=O)C5=C(C=CC(=C5F)NS(=O)(=O)CC(CO)O)F)Cl,130339525
C1=CC(=C(C(=C1)Cl)C(=O)N2C=C(C3=C2N=CC(=C3)C4=CC=C(C=C4)Cl)C(=O)C5=C(C=CC(=C5F)NS(=O)(=O)CCO)F)Cl,130339524
C1=CC(=C(C(=C1)Cl)CC(=O)C2=CNC3=C2C=CC=N3)F,43161294
C1=CC(=C(C(=C1)Cl)CC(=O)C2=CNC3=NC=CC(=C23)Cl)F,115512729
C1=CC(=C(C(=C1)Cl)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CN=CC=C4,58087845
C1=CC(=C(C(=C1)Cl)F)C(=O)C2=CNC3=C2C=CC=N3,81266258
C1=CC(=C(C(=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,141275463
C1=CC(=C(C(=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,71084757
C1=CC(=C(C(=C1)F)C(=O)C2=CNC3=NC=CC(=C23)Cl)F,115512639
C1=CC(=C(C(=C1)F)CC(=O)C2=CNC3=NC=CC(=C23)Cl)F,115512749
C1=CC(=C(C(=C1)F)Cl)C(=O)C2=CNC3=C2C=CC=N3,81453922
C1=CC(=C(C(=C1)F)F)C(=CN)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)N,88275473
C1=CC(=C(C(=C1)F)F)C(=CN)C(=O)C2=CNC3=C2C=CC(=N3)Cl,88275614
C1=CC(=C(C(=C1)F)F)C(=CN)C(=O)C2=CNC3=NC(=C(C=C23)C4=CC=NC=C4)Cl,88275493
C1=CC(=C(C(=C1)F)F)C(=O)C2=CNC3=NC=CC(=C23)C4=CC=C(C=C4)Cl,68880521
C1=CC(=C(C(=C1)F)F)C(=O)C2=CNC3=NC=CC(=C23)Cl,115512646
C1=CC(=C(C(=C1)F)F)CC(=O)C2=CNC3=C2C=CC(=N3)Cl,59832194
C1=CC(=C(C(=C1)F)F)CC(=O)C2=CNC3=NC=CC(=C23)Cl,115512668
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N)F)F,49779109
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F)F,49779972
C1=CC(=C(C(=C1)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)C#N)F)F,49779112
